Governante;Data de entrada;Data de saída;Classificação;Ministérios;Partido da Pasta;Ministro;Data de entrada;Data de saída;Partido do Ministro
Itamar;29/12/1992;01/01/1995;Ministério;Transportes;PMDB;Alberto Goldman;14/10/1992;21/12/1993;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Transportes;sfp;Margarida Coimbra do Nascimento;21/12/1993;08/03/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Transportes;sfp;Rubens Bayma Dennis;08/03/1994;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Agricultura, Abastecimento e Reforma Agrária;PMDB;Lázaro Ferreira Barbosa;14/10/1992;14/11/1992;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Agricultura, Abastecimento e Reforma Agrária;PMDB;Nuri Andraus Gassani;07/06/1993;16/06/1993;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Agricultura, Abastecimento e Reforma Agrária;PMDB;José Antônio Barros Munhoz;17/06/1993;01/09/1993;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Agricultura, Abastecimento e Reforma Agrária;PMDB;Dejandir Dalpasquale;13/10/1993;21/12/1993;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Agricultura, Abastecimento e Reforma Agrária;PMDB;Synval Guazzelli;25/01/1994;31/12/1994;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Educação e Desporto;ind;Murilio de Avellar Hingel;05/10/1992;31/12/1994;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Trabalho;sfp;Walter Barelli;08/10/1992;04/04/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Trabalho;sfp;Marcelo Pimentel;10/05/1994;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Saúde;PSB;Jamil Haddad;08/10/1992;19/08/1993;PSB
Itamar;29/12/1992;01/01/1995;Ministério;Saúde;PP;Henrique Santillo;30/08/1993;31/12/1994;PP
Itamar;29/12/1992;01/01/1995;Ministério;Indústria, Comércio e Turismo;PTB;José Eduardo Andrade Vieira;14/10/1992;23/12/1993;PTB
Itamar;29/12/1992;01/01/1995;Ministério;Indústria, Comércio e Turismo;PFL;Élcio Alvares;25/01/1994;31/12/1994;PFL
Itamar;29/12/1992;01/01/1995;Ministério;Minas e Energia;PSDB;Paulino Cícero de Vasconcelos;08/10/1992;28/12/1993;PSDB
Itamar;29/12/1992;01/01/1995;Ministério;Minas e Energia;sfp;José Israel Vargas (interino);29/12/1993;08/03/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Minas e Energia;sfp;Alexis Stepanenko;08/03/1994;21/09/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Minas e Energia;sfp;Delcídio Gomes (interino);21/09/1994;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Secretaria;Planejamento, Orçamento e Coordenação;ind;Paulo Roberto Haddad;19/10/1992;28/01/1993;PSDB
Itamar;29/12/1992;01/01/1995;Secretaria;Planejamento, Orçamento e Coordenação;ind;Yeda Crusius;28/01/1993;07/05/1993;PSDB
Itamar;29/12/1992;01/01/1995;Secretaria;Planejamento, Orçamento e Coordenação;sfp;Alexis Stepanenko;07/05/1993;08/03/1994;sfp
Itamar;29/12/1992;01/01/1995;Secretaria;Planejamento, Orçamento e Coordenação;PSDB;Beni Veras;08/03/1994;31/12/1994;PSDB
Itamar;29/12/1992;01/01/1995;Ministério;Integração Regional;PFL;Alexandre Alves Costa;08/10/1992;23/12/1993;PFL
Itamar;29/12/1992;01/01/1995;Ministério;Integração Regional;sfp;Romildo Canhim (interino);23/12/1993;08/03/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Integração Regional;PMDB;Aluízio Alves;08/03/1994;31/12/1994;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Comunicações;PFL;Hugo Napoleão do Rego Neto;19/10/1992;23/12/1993;PFL
